Frame,Recognized_Text,ad
AD0252_Frame_1610.png,Bravery:,AD0252
AD0252_Frame_1620.png,Bravery:,AD0252
AD0252_Frame_1630.png,Bravery:,AD0252
AD0252_Frame_1640.png,Bravery: It'5 what defines us.,AD0252
AD0252_Frame_1650.png,Bravery: It's what defines us.,AD0252
AD0252_Frame_1660.png,Bravery: It'S what defines us.,AD0252
AD0252_Frame_1680.png,"Audi, CW), Truth in Engineering, #BraveryWins",AD0252
AD0252_Frame_1690.png,"Audi, Truth in Engineering, #BraveryWins",AD0252
AD0252_Frame_1730.png,"SCORING SUMMARY, BALTIMORE, PLAYS 6, Art, YARDS 51, RAVENS, TIME 2:29, Jin: 13-YARD TD RECEPTION",AD0252
AD0252_Frame_1740.png,"Away, Ricic, SCORING SUMMARY, BALTIMORE, PLAYS 6, Art, YARDS 51, TIME 2:29, RAVENS, Jin: 13-YARD TD RECEPTION",AD0252
AD0252_Frame_1750.png,"Away, Rc, SCORING SUMMARY, BALTIMORE, PLAYS 6, YARDS 51, (Fl, Art, TIME 2:29, RAVENS, Jin: 13-VARD TD RECEPTION",AD0252
AD0252_Frame_1760.png,"Away, Fici, SCORING SUMMARY, BALTIMORE, PLAYS 6, Mu, Art, YARDS 51, TIME 2:29, JAVKN<, Jin: 13-YARD TD RECEPTION",AD0252
AD0252_Frame_1770.png,"Away, Fiei, 22, SCORING SUMMARY, BALTIMORE, PLAYS 6, YARDS 51, MFD, Art, TIME 2:29, RAVENS, Jin: 13-VARD TD RECEPTION, Feel",AD0252
AD0252_Frame_1780.png,"Away, Fici, SCORING SUMMARY, BALTIMORE, PLAYS 6, YARDS 51, WFDJ, Art, TIME 2:29, TAVENS, Jin: 13-VARD TD RECEPTION, Re",AD0252
AD0252_Frame_1790.png,"Away, Fiei, SCORING SUMMARY, BALTIMORE, PLAYS 6, YARDS 51, MFD, Art, TIME 2:29, RAVENS, Jin: 13-VARD TD RECEPTION",AD0252
AD0252_Frame_1800.png,"Away, Fien, SCORING SUMMARY, BALTIMORE, PLAYS 6, Qed), Art, YARDS 51, TIME 2:29, RAVENS, Jin: 13-VARD TO RECEPTION",AD0252
AD0252_Frame_1810.png,"Away, Fiei, SCORING SUMMARY, BALTIMORE, PLAYS 6, WFU, Art,, YARDS 51, TIME 2:29, RAVENS, Jin: 13-YARD TD RECEPTION",AD0252
AD0252_Frame_1820.png,"Away, Fiel, SCORING SUMMARY, BALTIMORE, WFd, Art, YARDS 51, TIME 2:29, RAVENS, Wenttte, Tongoctao",AD0252
AD0252_Frame_1830.png,"Away, Fiel, 22, SCORING SUMMARY, BALTIMORE, ANQUAN BOLDIN, AtH REC TD, THIS POSTSEASON, MFD, Art,, (4 REC TD IN, REG SEASON), RAVENS",AD0252
AD0252_Frame_730.png,"'903, Closed Course, obey speed ard traffic laws;, Aluys",AD0252
AD0252_Frame_740.png,"'3596, Closed course . Alays obey speed andd traffic |aws.",AD0252
AD0252_Frame_750.png,"'3n, Closed course . Alays obey speed and traffic |aws.",AD0252
AD0252_Frame_760.png,Closec course . Always obey speed and traffic laws:,AD0252
AD0252_Frame_770.png,Closec course . Alays obey speed and traffic |aws.,AD0252
AD0252_Frame_780.png,"Cloget Guuisu, ohey speed arc] Uratlic Iaws;",AD0252
AD0252_Frame_790.png,"PRINCIPAL, ONLY",AD0252
AD0252_Frame_800.png,"PRINCIPA, ONLY",AD0252
AD0252_Frame_810.png,PRINCE,AD0252
AD0252_Frame_820.png,PRINC,AD0252
AD0252_Frame_830.png,"PathctpaE, BHrSoN, ISQHIOOL, Hu",AD0252
AD0252_Frame_840.png,"bxdron, ISOHOOL, Hul",AD0252
AD0252_Frame_850.png,"fa, OXdrON, ISQHOL, Hule",AD0252
AD0253_Frame_10.png,"AFF, MEEP",AD0253
AD0253_Frame_160.png,Fictionalization.,AD0253
AD0253_Frame_170.png,Fictionalizalion,AD0253
AD0253_Frame_180.png,Acllowallzallou,AD0253
AD0253_Frame_190.png,Ficlionalization,AD0253
AD0253_Frame_20.png,MeFP OF,AD0253
AD0253_Frame_200.png,Ficiionalizalion .,AD0253
AD0253_Frame_210.png,FuMula s)Wnon,AD0253
AD0253_Frame_220.png,Ficlionalizalion.,AD0253
AD0253_Frame_230.png,Flclionalizalion,AD0253
AD0253_Frame_240.png,Ficlionalizalion,AD0253
AD0253_Frame_250.png,ad,AD0253
AD0253_Frame_270.png,Ficlionalizallon.,AD0253
AD0253_Frame_280.png,~Ficlionalizallon.,AD0253
AD0253_Frame_290.png,Fictioralizalion.,AD0253
AD0253_Frame_30.png,"NFF, WEEP """,AD0253
AD0253_Frame_300.png,Fictioralization.,AD0253
AD0253_Frame_310.png,Ficlionalization.,AD0253
AD0253_Frame_320.png,Ficlionalization.,AD0253
AD0253_Frame_330.png,Ficlldmallaloi,AD0253
AD0253_Frame_340.png,Ficllonalizaliom,AD0253
AD0253_Frame_350.png,Ficllonalizalion .,AD0253
AD0253_Frame_360.png,Ficlionalizalion,AD0253
AD0253_Frame_370.png,Fictonalizalion .,AD0253
AD0253_Frame_380.png,Ficlionalizalion .,AD0253
AD0253_Frame_390.png,Ficlionalizalion .,AD0253
AD0253_Frame_600.png,"nothinG BEA, 5 An ASTRONAUT",AD0253
AD0253_Frame_610.png,NothING BEA TS An ASTRONAUT,AD0253
AD0253_Frame_620.png,"nothinG, BEZ TS, An ASTRonAUT",AD0253
AD0253_Frame_630.png,"NothING BE, Ts, An ASTROnAUT",AD0253
